nowtime,vendor,product_category,avg_price,min_price,max_price
2024-02-28,Galleria,Bread,NA,2.99,8.85
2024-02-28,Galleria,Eggs,NA,0.99,9.99
2024-02-28,Galleria,Milk,NA,4.95,5.49
2024-02-28,Loblaws,Bread,NA,2.49,6.49
2024-02-28,Loblaws,Eggs,NA,10.13,9.52
2024-02-28,Metro,Bread,NA,10.29,9.29
2024-02-28,Metro,Eggs,NA,10.19,9.69
2024-02-28,NoFrills,Bread,NA,1.99,6.99
2024-02-28,NoFrills,Eggs,NA,2.94,9.52
2024-02-28,NoFrills,Milk,NA,3.89,3.89
2024-02-28,TandT,Bread,NA,2.99,6.69
2024-02-28,TandT,Eggs,NA,10.14,9.28
2024-02-28,TandT,Milk,NA,3.49,7.99
2024-02-28,Voila,Bread,NA,2.69,6.99
2024-02-28,Voila,Eggs,NA,1.79,9.49
2024-02-29,Galleria,Bread,NA,2.99,8.85
2024-02-29,Galleria,Eggs,NA,0.99,9.99
2024-02-29,Galleria,Milk,NA,4.95,5.49
2024-02-29,Loblaws,Bread,NA,2.49,6.49
2024-02-29,Loblaws,Eggs,NA,10.13,9.52
2024-02-29,Metro,Bread,NA,10.29,9.99
2024-02-29,Metro,Eggs,NA,10.19,9.29
2024-02-29,NoFrills,Bread,NA,1.99,6.99
2024-02-29,NoFrills,Eggs,NA,2.94,9.52
2024-02-29,NoFrills,Milk,NA,3.89,3.89
2024-02-29,TandT,Bread,NA,2.99,6.69
2024-02-29,TandT,Eggs,NA,10.14,9.28
2024-02-29,TandT,Milk,NA,3.49,7.99
2024-02-29,Voila,Bread,NA,2.29,6.99
2024-02-29,Voila,Eggs,NA,1.79,9.49
2024-03-01,Galleria,Bread,NA,2.99,8.85
2024-03-01,Galleria,Eggs,NA,0.99,9.99
2024-03-01,Galleria,Milk,NA,4.95,5.49
2024-03-01,Loblaws,Bread,NA,2.49,6.49
2024-03-01,Loblaws,Eggs,NA,10.13,9.52
2024-03-01,Metro,Bread,NA,10.29,9.29
2024-03-01,Metro,Eggs,NA,10.19,9.69
2024-03-01,NoFrills,Bread,NA,1.99,6.49
2024-03-01,NoFrills,Eggs,NA,2.94,9.52
2024-03-01,TandT,Bread,NA,2.98,6.69
2024-03-01,TandT,Eggs,NA,10.14,9.99
2024-03-01,TandT,Milk,NA,3.49,7.99
2024-03-01,Voila,Bread,NA,2.29,6.99
2024-03-01,Voila,Eggs,NA,1.79,9.49
2024-03-02,Galleria,Bread,NA,2.99,8.85
2024-03-02,Galleria,Eggs,NA,0.99,9.99
2024-03-02,Galleria,Milk,NA,4.95,5.49
2024-03-02,Loblaws,Bread,NA,2.49,6.49
2024-03-02,Loblaws,Eggs,NA,10.13,9.52
2024-03-02,Metro,Bread,NA,10.29,9.29
2024-03-02,Metro,Eggs,NA,10.19,9.69
2024-03-02,NoFrills,Bread,NA,1.99,6.99
2024-03-02,NoFrills,Eggs,NA,2.94,9.52
2024-03-02,NoFrills,Milk,NA,3.89,3.89
2024-03-02,TandT,Bread,NA,2.98,6.69
2024-03-02,TandT,Eggs,NA,10.14,9.99
2024-03-02,TandT,Milk,NA,3.49,7.99
2024-03-02,Voila,Bread,NA,2.29,6.99
2024-03-02,Voila,Eggs,NA,1.79,9.49
2024-03-03,Galleria,Bread,NA,2.99,8.85
2024-03-03,Galleria,Eggs,NA,0.99,9.99
2024-03-03,Galleria,Milk,NA,4.95,5.49
2024-03-03,Loblaws,Bread,NA,2.49,6.49
2024-03-03,Loblaws,Eggs,NA,10.13,9.52
2024-03-03,Metro,Bread,NA,10.29,9.99
2024-03-03,Metro,Eggs,NA,10.19,9.49
2024-03-03,NoFrills,Bread,NA,1.99,6.99
2024-03-03,NoFrills,Eggs,NA,2.94,9.52
2024-03-03,NoFrills,Milk,NA,3.89,3.89
